date,commodity,classification,county,market,volume_supplied_tonnes,wholesale_price_ksh,retail_price_ksh
2024-09-16,Fertilizer,DAP,Siaya,Aram,2.2895,65.0,120.0
2024-09-16,Fertilizer,DAP,Siaya,Aram,1.4895,75.0,140.0
2024-09-16,Fertilizer,DAP,Siaya,Aram,0.825,70.0,200.0
2024-09-16,Fertilizer,CAN,Siaya,Aram,1.425,75.0,110.0
2024-09-16,Fertilizer,CAN,Siaya,Aram,1.425,60.0,120.0
2024-09-16,Fertilizer,CAN,Siaya,Aram,1.425,60.0,150.0
2024-09-15,Fertilizer,CAN,Kisumu,Kibuye,1.3115,50.0,100.0
2024-09-15,Fertilizer,CAN,Kisumu,Muhoroni,5.0,62.0,66.0
2024-09-14,Fertilizer,NPK,Muranga,Mukuyu Market,2.429,100.0,110.0
2024-09-14,Fertilizer,DAP,Muranga,Mukuyu Market,1.629,110.0,120.0
2024-09-14,Fertilizer,CAN,Muranga,Mukuyu Market,1.629,80.0,84.0
2024-09-13,Fertilizer,DAP,Kakamega,Mumias,0.475,65.0,104.0
2024-09-13,Fertilizer,DAP,Kirinyaga,Makutano Kirinyaga,6.5,109.0,120.0
2024-09-13,Fertilizer,CAN,Kirinyaga,Makutano Kirinyaga,3.5,70.0,80.0
2024-09-11,Fertilizer,DAP,Kirinyaga,Makutano Kirinyaga,5.5,108.0,120.0
2024-09-11,Fertilizer,CAN,Kirinyaga,Makutano Kirinyaga,3.5,68.0,80.0
2024-09-08,Fertilizer,CAN,Kisumu,Kibuye,0.85,50.0,100.0
2024-09-07,Fertilizer,DAP,Kirinyaga,Makutano Kirinyaga,8.5,108.0,120.0
2024-09-07,Fertilizer,CAN,Kirinyaga,Makutano Kirinyaga,3.5,68.0,80.0
2024-09-07,Fertilizer,CAN,Muranga,Mukuyu Market,0.375,80.0,84.0
2024-09-07,Fertilizer,NPK,Muranga,Mukuyu Market,1.85,100.0,110.0
2024-09-06,Fertilizer,DAP,Kakamega,Mumias,7.5,101.0,109.0
2024-09-06,Fertilizer,CAN,Kakamega,Mumias,1.4,58.0,68.0
2024-09-05,Fertilizer,DAP,Siaya,Aram,0.75,100.0,130.0
2024-09-05,Fertilizer,DAP,Siaya,Aram,0.725,100.0,140.0
2024-09-05,Fertilizer,DAP,Siaya,Aram,0.725,65.0,200.0
2024-09-05,Fertilizer,CAN,Siaya,Aram,1.7,70.0,120.0
2024-09-05,Fertilizer,CAN,Siaya,Aram,2.325,65.0,150.0
2024-09-05,Fertilizer,DAP,Bungoma,Kimilili town,0.05,50.0,50.0
2024-09-04,Fertilizer,DAP,Kirinyaga,Makutano Kirinyaga,7.0,104.0,120.0
2024-09-04,Fertilizer,CAN,Kirinyaga,Makutano Kirinyaga,2.5,62.0,100.0
2024-09-04,Fertilizer,NPK,Muranga,Mukuyu Market,1.45,90.0,120.0
2024-09-04,Fertilizer,DAP,Muranga,Mukuyu Market,0.325,75.0,140.0
2024-09-04,Fertilizer,CAN,Muranga,Mukuyu Market,1.175,60.0,110.0
2024-09-04,Fertilizer,CAN,Siaya,Akala,0.8,92.0,105.0
2024-09-03,Fertilizer,DAP,Kirinyaga,Kagio,0.775,120.0,130.0
2024-09-03,Fertilizer,NPK,Kirinyaga,Kagio,1.15,91.0,110.0
2024-09-03,Fertilizer,CAN,Kirinyaga,Kagio,1.55,76.0,80.0
2024-09-02,Fertilizer,DAP,Kisumu,Ahero,10.0,116.0,120.0
2024-09-02,Fertilizer,CAN,Kisumu,Ahero,7.0,90.0,100.0
