date,commodity,classification,county,market,volume_supplied_tonnes,wholesale_price_ksh,retail_price_ksh
2023-11-27,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.198,23.0,23.0
2023-11-21,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.162,23.0,23.0
2023-10-31,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.216,23.0,23.0
2023-10-23,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.198,23.0,23.0
2023-10-09,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.27,23.0,23.0
2023-09-04,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.216,23.0,23.0
2023-08-21,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.144,23.0,23.0
2023-07-24,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.18,23.0,23.0
2023-07-10,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.126,23.0,23.0
2023-05-18,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.216,23.0,23.0
2023-04-24,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.144,23.0,23.0
2023-03-27,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.18,23.0,23.0
2023-03-21,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.162,23.0,23.0
2023-03-13,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.162,23.0,23.0
2023-02-21,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.18,23.0,23.0
2023-02-13,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.216,23.0,23.0
2023-02-03,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.18,23.0,23.0
2023-01-23,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.162,23.0,23.0
2022-10-31,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.162,23.0,23.0
2022-10-25,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.162,23.0,23.0
2022-10-02,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.144,23.0,23.0
2022-09-24,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.144,23.0,23.0
2022-09-18,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.144,23.0,23.0
2022-09-10,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.144,23.0,23.0
2022-09-02,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.126,23.0,23.0
2022-08-26,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.04,15.0,15.0
2022-08-04,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.12,15.0,15.0
2022-07-29,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.04,15.0,15.0
2022-07-21,Camel Hide,-,Laikipia,Nanyuki Livestock Market,0.28,15.0,15.0
2021-12-08,Camel Hide,-,Samburu,Maralal livestock market,0.04,25.0,37.5
2024-05-07,Cattle Hide,-,Nandi,Kabiyet Market,0.1,50.0,60.0
2023-10-26,Cattle Hide,-,Samburu,Maralal livestock market,0.2,20.0,25.0
2023-09-22,Cattle Hide,-,Samburu,Maralal livestock market,0.12,5.0,7.5
2023-09-22,Cattle Hide,-,Samburu,Maralal livestock market,0.4,10.0,12.5
2023-05-11,Cattle Hide,-,Kericho,Kericho Town,0.6,15.0,30.0
2023-03-17,Cattle Hide,-,Laikipia,Nyahururu Livestock Market,0.3,15.0,20.0
2023-03-07,Cattle Hide,-,Machakos,Kithyonko,0.03,10.0,20.0
2023-02-21,Cattle Hide,-,Machakos,Kithyonko,0.18,20.0,30.0
2023-02-15,Cattle Hide,-,Samburu,Maralal livestock market,0.18,5.0,6.67
2023-01-24,Cattle Hide,-,Machakos,Kithyonko,0.2,20.0,30.0
2023-01-17,Cattle Hide,-,Machakos,Kithyonko,0.22,20.0,30.0
2023-01-10,Cattle Hide,-,Machakos,Kithyonko,0.08,20.0,30.0
2023-01-03,Cattle Hide,-,Machakos,Kithyonko,0.13,30.0,40.0
2022-12-20,Cattle Hide,-,Machakos,Kithyonko,0.03,20.0,30.0
2022-11-29,Cattle Hide,-,Machakos,Kithyonko,0.15,20.0,30.0
2022-11-23,Cattle Hide,-,Samburu,Maralal livestock market,0.12,5.0,6.67
2022-11-22,Cattle Hide,-,Machakos,Kithyonko,0.13,20.0,30.0
2022-11-08,Cattle Hide,-,Machakos,Kithyonko,0.24,20.0,30.0
2022-10-25,Cattle Hide,-,Machakos,Kithyonko,0.12,20.0,30.0
2022-10-18,Cattle Hide,-,Machakos,Kithyonko,0.2,20.0,30.0
2022-10-11,Cattle Hide,-,Machakos,Kithyonko,0.2,20.0,30.0
2022-10-04,Cattle Hide,-,Machakos,Kithyonko,0.04,20.0,30.0
2022-09-27,Cattle Hide,-,Machakos,Kithyonko,0.12,30.0,30.0
2022-09-06,Cattle Hide,-,Machakos,Kithyonko,0.008,20.0,20.0
2022-08-26,Cattle Hide,-,Kericho,Kericho Town,0.2,13.33,20.0
2022-08-26,Cattle Hide,-,Laikipia,Nanyuki Livestock Market,0.03,10.0,10.0
2022-08-02,Cattle Hide,-,Machakos,Kithyonko,0.12,30.0,30.0
2022-07-29,Cattle Hide,-,Laikipia,Nanyuki Livestock Market,0.03,15.0,15.0
2022-07-26,Cattle Hide,-,Machakos,Kithyonko,0.12,20.0,30.0
2022-07-19,Cattle Hide,-,Machakos,Kithyonko,0.12,10.0,20.0
2022-07-14,Cattle Hide,-,Kericho,Kericho Town,0.15,12.0,20.0
2022-07-12,Cattle Hide,-,Machakos,Kithyonko,0.04,10.0,10.0
2022-07-05,Cattle Hide,-,Machakos,Kithyonko,0.12,10.0,10.0
2022-06-30,Cattle Hide,-,Kisumu,Katito,0.8,15.0,20.0
2022-06-14,Cattle Hide,-,Machakos,Kithyonko,0.03,30.0,40.0
2022-06-07,Cattle Hide,-,Machakos,Kithyonko,0.02,10.0,10.0
2022-05-24,Cattle Hide,-,Machakos,Kithyonko,0.02,10.0,10.0
2022-05-17,Cattle Hide,-,Machakos,Kithyonko,0.025,10.0,10.0
2022-05-12,Cattle Hide,-,Samburu,Maralal livestock market,0.06,20.0,26.67
2022-05-10,Cattle Hide,-,Machakos,Kithyonko,0.001,1.0,10.0
2022-02-22,Cattle Hide,-,Machakos,Kithyonko,0.02,20.0,20.0
2022-02-15,Cattle Hide,-,Machakos,Kithyonko,0.02,10.0,10.0
2022-02-08,Cattle Hide,-,Machakos,Kithyonko,0.015,20.0,20.0
2022-02-01,Cattle Hide,-,Machakos,Kithyonko,0.02,20.0,20.0
2022-01-21,Cattle Hide,-,Elgeyo-Marakwet,Iten,0.25,10.0,15.0
2022-01-04,Cattle Hide,-,Machakos,Kithyonko,0.1,10.0,10.0
2021-12-21,Cattle Hide,-,Samburu,Maralal livestock market,0.21,20.0,30.0
2021-12-21,Cattle Hide,-,Machakos,Kithyonko,0.02,20.0,20.0
2021-12-15,Cattle Hide,-,Kericho,Kipsitet,0.62,10.0,20.0
2021-12-14,Cattle Hide,-,Machakos,Kithyonko,0.015,20.0,20.0
2021-12-07,Cattle Hide,-,Machakos,Kithyonko,0.02,20.0,20.0
2021-12-01,Cattle Hide,-,Nandi,Chepterit Market - Nandi,0.05,50.0,60.0
