date,commodity,classification,county,market,volume_supplied_tonnes,wholesale_price_ksh,retail_price_ksh
2023-09-26,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.017,80.0,150.0
2023-09-19,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.025,100.0,150.0
2023-09-13,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.028,100.0,160.0
2023-09-06,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.028,100.0,160.0
2023-09-05,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.042,80.0,160.0
2023-09-04,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.051,100.0,160.0
2023-08-15,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.036,100.0,160.0
2023-08-14,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.025,100.0,150.0
2023-08-07,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.034,80.0,150.0
2023-08-01,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.041,80.0,150.0
2023-07-31,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.025,100.0,150.0
2023-07-25,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.029,120.0,160.0
2023-07-19,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.028,100.0,150.0
2023-07-18,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.022,100.0,160.0
2023-07-13,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.039,100.0,160.0
2023-07-05,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.027,100.0,150.0
2023-07-04,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.041,100.0,160.0
2023-07-03,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.031,100.0,150.0
2023-06-26,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.029,100.0,150.0
2023-06-21,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.037,100.0,150.0
2023-06-14,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.035,100.0,150.0
2023-06-13,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.018,100.0,150.0
2023-06-12,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.038,100.0,150.0
2023-06-05,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.031,100.0,150.0
2023-05-30,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.036,100.0,150.0
2023-05-29,African butter catfish,Fresh,Tana-River,Kipini Fish market,0.016,100.0,150.0
