date,commodity,classification,county,market,volume_supplied_tonnes,wholesale_price_ksh,retail_price_ksh
2024-09-16,Cattle,Zebu,Kwale,Mwangulu,0.045,35000.0,75000.0
2024-09-16,Cattle,Sahiwal,Kwale,Mwangulu,0.051,55000.0,75000.0
2024-09-16,Cattle,Sahiwal,Kwale,Mwangulu,0.052,60000.0,75000.0
2024-09-16,Cattle,Boran,Kwale,Mwangulu,0.042,45000.0,75000.0
2024-09-16,Cattle,Boran,Kwale,Mwangulu,0.021,42000.0,75000.0
2024-09-16,Cattle,Mixed,Kitui,Kisasi,0.0225,35000.0,75000.0
2024-09-16,Cattle,Mixed,Kitui,Kisasi,0.03,45000.0,75000.0
2024-09-16,Cattle,Mixed,Kitui,Kisasi,0.035,60000.0,75000.0
2024-09-16,Cattle,Zebu,Migori,Kababu,0.073,15000.0,75000.0
2024-09-16,Cattle,Zebu,Migori,Kababu,0.088,25000.0,75000.0
2024-09-16,Cattle,Zebu,Migori,Kababu,0.132,34000.0,75000.0
2024-09-16,Cattle,Zebu,Migori,Kababu,0.077,16000.0,75000.0
2024-09-16,Cattle,Zebu,Kakamega,Nambacha Market,0.1,30000.0,75000.0
2024-09-16,Cattle,Zebu,Migori,Kababu,0.127,22000.0,75000.0
2024-09-16,Cattle,Zebu,Kakamega,Nambacha Market,0.07,40000.0,75000.0
2024-09-16,Cattle,Zebu,Migori,Kababu,0.188,40000.0,75000.0
2024-09-16,Cattle,Zebu,Kakamega,Nambacha Market,0.02,70000.0,75000.0
2024-09-16,Cattle,Zebu,Kakamega,Nambacha Market,0.03,60000.0,75000.0
2024-09-16,Cattle,Sahiwal,Migori,Kababu,0.048,27000.0,75000.0
2024-09-16,Cattle,Sahiwal,Migori,Kababu,0.064,35000.0,75000.0
2024-09-16,Cattle,Sahiwal,Migori,Kababu,0.056,70000.0,75000.0
2024-09-16,Cattle,Mixed,Kirinyaga,Kutus,0.007,35000.0,75000.0
2024-09-16,Cattle,Mixed,Kirinyaga,Kutus,0.012,72000.0,75000.0
2024-09-15,Cattle,Mixed,Migori,Mabera,0.1,25000.0,75000.0
2024-09-15,Cattle,Mixed,Migori,Mabera,0.15,30000.0,75000.0
2024-09-15,Cattle,Mixed,Migori,Mabera,0.05,35000.0,75000.0
2024-09-15,Cattle,Mixed,Migori,Mabera,0.05,40000.0,75000.0
2024-09-15,Cattle,Zebu,Migori,Mabera,0.1,20000.0,75000.0
2024-09-15,Cattle,Zebu,Migori,Mabera,0.1,25000.0,75000.0
2024-09-15,Cattle,Zebu,Migori,Mabera,0.05,30000.0,75000.0
2024-09-15,Cattle,Zebu,Migori,Mabera,0.05,35000.0,75000.0
2024-09-15,Cattle,Sahiwal,Migori,Mabera,0.03,60000.0,75000.0
2024-09-15,Cattle,Sahiwal,Migori,Mabera,0.02,65000.0,75000.0
2024-09-15,Cattle,Mixed,Migori,Mabera,0.1,55000.0,75000.0
2024-09-15,Cattle,Mixed,Migori,Mabera,0.05,65000.0,75000.0
2024-09-15,Cattle,Mixed,Migori,Mabera,0.05,70000.0,75000.0
2024-09-15,Cattle,Zebu,Migori,Mabera,0.15,50000.0,75000.0
2024-09-15,Cattle,Zebu,Migori,Mabera,0.15,60000.0,75000.0
2024-09-15,Cattle,Zebu,Migori,Mabera,0.1,65000.0,75000.0
2024-09-15,Cattle,Zebu,Migori,Mabera,0.05,75000.0,75000.0
2024-09-14,Cattle,Mixed,Trans-Nzoia,Sikhendu,0.004,16000.0,75000.0
2024-09-14,Cattle,Mixed,Trans-Nzoia,Sikhendu,0.008,45000.0,75000.0
2024-09-14,Cattle,Mixed,Trans-Nzoia,Sikhendu,0.006,40000.0,75000.0
2024-09-13,Cattle,Mixed,Kakamega,Malimili Livestock Market,0.011,20000.0,75000.0
2024-09-13,Cattle,Mixed,Kakamega,Malimili Livestock Market,0.012,30000.0,75000.0
2024-09-13,Cattle,Mixed,Kakamega,Malimili Livestock Market,0.008,48000.0,75000.0
2024-09-13,Cattle,Mixed,Kakamega,Malimili Livestock Market,0.009,25000.0,75000.0
2024-09-13,Cattle,Mixed,Kakamega,Malimili Livestock Market,0.01,35000.0,75000.0
2024-09-13,Cattle,Mixed,Kakamega,Malimili Livestock Market,0.007,50000.0,75000.0
2024-09-13,Cattle,Ayrshire,Kakamega,Malimili Livestock Market,0.013,25000.0,75000.0
2024-09-13,Cattle,Ayrshire,Kakamega,Malimili Livestock Market,0.016,40000.0,75000.0
2024-09-13,Cattle,Ayrshire,Kakamega,Malimili Livestock Market,0.01,50000.0,75000.0
