date,commodity,classification,county,market,volume_supplied_tonnes,wholesale_price_ksh,retail_price_ksh
2024-01-23,Camel meat,-,Turkana,Kakuma Livestock Market,3.5,45.0,500.0
2023-08-31,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-08-30,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-08-29,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-08-28,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-08-20,Camel meat,-,Turkana,Lokichar,0.3,400.0,500.0
2023-07-11,Camel meat,-,Turkana,Kakuma Livestock Market,4.0,45.0,500.0
2023-07-07,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-07-04,Camel meat,-,Turkana,Kakuma Livestock Market,4.0,47.22,500.0
2023-06-27,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-27,Camel meat,-,Turkana,Kakuma Livestock Market,3.5,35.0,500.0
2023-06-27,Camel meat,-,Mandera,Takaba Livestock Market,0.18,45.0,500.0
2023-06-22,Camel meat,-,Mandera,Takaba Livestock Market,0.35,60.0,500.0
2023-06-21,Camel meat,-,Mandera,Takaba Livestock Market,0.4,60.0,500.0
2023-06-19,Camel meat,-,Mandera,Takaba Livestock Market,0.35,45.0,500.0
2023-06-16,Camel meat,-,Mandera,Takaba Livestock Market,0.5,42.5,500.0
2023-06-15,Camel meat,-,Mandera,Takaba Livestock Market,0.5,42.5,500.0
2023-06-12,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-11,Camel meat,-,Mandera,Elwak Livestock Market,0.12,400.0,500.0
2023-06-10,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-09,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-09,Camel meat,-,Mandera,Takaba Livestock Market,0.38,55.0,500.0
2023-06-08,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-07,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-07,Camel meat,-,Mandera,Takaba Livestock Market,0.35,51.2,500.0
2023-06-06,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-05,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-05,Camel meat,-,Mandera,Takaba Livestock Market,0.3,52.5,500.0
2023-06-04,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-03,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-06-02,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-05-31,Camel meat,-,Mandera,Elwak Livestock Market,0.12,400.0,500.0
2023-05-31,Camel meat,-,Mandera,Takaba Livestock Market,0.3,100.0,500.0
2023-05-30,Camel meat,-,Mandera,Takaba Livestock Market,0.25,90.0,500.0
2023-05-30,Camel meat,-,Mandera,Elwak Livestock Market,0.1,400.0,500.0
2023-05-29,Camel meat,-,Mandera,Takaba Livestock Market,0.5,50.0,500.0
2023-05-29,Camel meat,-,Mandera,Elwak Livestock Market,0.12,400.0,500.0
