date,commodity,classification,county,market,volume_supplied_tonnes,wholesale_price_ksh,retail_price_ksh
2024-07-31,Anchovies,Fresh,Kwale,Vanga,2.5,186.0,250.0
2024-06-08,Anchovies,Fresh,Kwale,Vanga,0.25,200.0,250.0
2024-05-27,Anchovies,Fresh,Kwale,Vanga,0.5,200.0,250.0
2024-05-22,Anchovies,Fresh,Kwale,Vanga,0.18,220.0,250.0
2024-04-26,Anchovies,Fresh,Kwale,Vanga,0.2,200.0,220.0
2024-04-05,Anchovies,Fresh,Kwale,Vanga,0.2,183.0,200.0
2024-03-23,Anchovies,Fresh,Kwale,Vanga,0.6,220.0,250.0
2024-03-17,Anchovies,Fresh,Kwale,Vanga,2.5,200.0,220.0
2024-03-15,Anchovies,Fresh,Kwale,Vanga,2.5,180.0,200.0
2024-03-13,Anchovies,Fresh,Kwale,Vanga,0.23,183.0,200.0
2024-02-21,Anchovies,Fresh,Kwale,Vanga,0.2,185.0,200.0
2024-02-19,Anchovies,Fresh,Kwale,Vanga,2.0,185.0,200.0
2024-02-03,Anchovies,Fresh,Kwale,Vanga,0.4,180.0,200.0
2024-01-19,Anchovies,Dried,Kwale,Vanga,2.3,210.0,250.0
2024-01-10,Anchovies,Fresh,Kwale,Vanga,0.2,200.0,250.0
2023-12-25,Anchovies,Fresh,Kwale,Vanga,2.6,230.0,250.0
2023-12-23,Anchovies,Fresh,Kwale,Vanga,2.0,183.0,250.0
2023-12-07,Anchovies,Fresh,Kwale,Vanga,0.3,170.0,200.0
2023-12-03,Anchovies,Fresh,Kwale,Vanga,2.0,180.0,240.0
2023-12-02,Anchovies,Fresh,Kwale,Vanga,0.23,180.0,200.0
2023-11-10,Anchovies,Fresh,Kwale,Vanga,2.0,183.0,200.0
2023-11-06,Anchovies,Fresh,Kwale,Vanga,0.2,220.0,250.0
2023-11-04,Anchovies,Fresh,Kwale,Vanga,0.25,180.0,200.0
2023-11-03,Anchovies,Fresh,Kwale,Vanga,0.033,200.0,250.0
2023-10-29,Anchovies,Fresh,Kwale,Vanga,0.8,120.0,200.0
2023-10-15,Anchovies,Fresh,Kwale,Vanga,0.2,183.0,250.0
2023-10-11,Anchovies,Fresh,Kwale,Vanga,0.2,170.0,200.0
2023-10-08,Anchovies,Fresh,Kwale,Vanga,2.5,150.0,200.0
2023-10-01,Anchovies,Fresh,Kwale,Vanga,2.0,180.0,320.0
2023-09-19,Anchovies,Fresh,Kwale,Vanga,0.2,170.0,200.0
2023-09-15,Anchovies,Fresh,Kwale,Vanga,0.2,150.0,200.0
2023-09-08,Anchovies,Fresh,Kwale,Vanga,0.12,163.0,200.0
2023-09-06,Anchovies,Fresh,Kwale,Vanga,2.0,155.0,180.0
